customer_id,name,age,email,city,purchase_amount,purchase_date
1,Ravi,69,ravi1@example.com,Delhi,1916.0,2025-03-13
2,Kiran,38,kiran2@example.com,Bangalore,1644.35,2025-11-27
3,Rahul,41,rahul3@example.com,Delhi,6051.04,2025-06-01
4,Rahul,39,rahul4@example.com,Delhi,9702.11,2025-10-21
5,Priya,38,priya5@example.com,Hyderabad,3112.0,2025-01-22
6,Kiran,61,kiran6@example.com,Hyderabad,2983.17,2025-02-28
7,Ravi,59,ravi7@example.com,Mumbai,9740.18,2025-09-28
8,Sneha,64,sneha8@example.com,Pune,2076.77,2025-02-24
9,Ananya,20,ananya9@example.com,Delhi,6114.69,2025-01-21
10,Arjun,56,arjun10@example.com,Bangalore,9493.97,2025-11-12
11,Sneha,67,sneha11@example.com,Bangalore,3115.68,2025-02-22
12,Priya,37,priya12@example.com,Mumbai,4457.51,2025-09-21
13,Ravi,52,ravi13@example.com,Pune,3971.5,2025-02-19
14,Neha,21,neha14@example.com,Bangalore,4309.04,2025-02-23
15,Priya,21,priya15@example.com,Pune,410.0,2025-08-06
16,Ananya,51,ananya16@example.com,Bangalore,8958.79,2025-09-27
17,Ravi,65,ravi17@example.com,Pune,2040.23,2025-07-09
18,Neha,38,neha18@example.com,Delhi,2786.36,2025-02-22
19,Neha,43,neha19@example.com,Hyderabad,2881.25,2025-02-10
20,Kiran,32,kiran20@example.com,Delhi,838.05,2025-11-23
21,Arjun,41,arjun21@example.com,Hyderabad,2067.29,2025-03-04
22,Rahul,68,rahul22@example.com,Hyderabad,7142.29,2025-10-16
23,Rahul,22,rahul23@example.com,Bangalore,3648.81,2025-02-10
24,Ananya,24,ananya24@example.com,Hyderabad,6270.65,2025-02-02
25,Neha,40,neha25@example.com,Pune,3319.31,2025-04-09
26,Ananya,57,ananya26@example.com,Pune,8883.41,2025-08-15
27,Kiran,64,kiran27@example.com,Pune,8504.25,2025-01-05
28,Priya,31,priya28@example.com,Chennai,5275.06,2025-01-15
29,Priya,59,priya29@example.com,Mumbai,1168.13,2025-03-04
30,Neha,56,neha30@example.com,Hyderabad,3212.12,2025-04-06
31,Ananya,47,ananya31@example.com,Delhi,2567.99,2025-08-25
32,Ravi,60,ravi32@example.com,Delhi,2365.1,2025-06-09
33,Ravi,68,ravi33@example.com,Pune,8816.63,2025-06-19
34,Kiran,23,kiran34@example.com,Mumbai,8056.35,2025-02-13
35,Ananya,47,ananya35@example.com,Pune,5439.49,2025-12-14
36,Arjun,56,arjun36@example.com,Pune,1189.51,2025-10-10
37,Sneha,69,sneha37@example.com,Delhi,8621.23,2025-12-25
38,Sneha,25,sneha38@example.com,Chennai,4232.37,2025-06-14
39,Arjun,68,arjun39@example.com,Bangalore,3442.39,2025-11-11
40,Sneha,49,sneha40@example.com,Hyderabad,4097.98,2025-11-14
41,Arjun,69,arjun41@example.com,Mumbai,2592.64,2025-04-23
42,Kiran,66,kiran42@example.com,Hyderabad,2741.13,2025-01-02
43,Priya,45,priya43@example.com,Pune,427.2,2025-08-12
44,Arjun,18,arjun44@example.com,Chennai,6838.98,2025-02-22
45,Ananya,43,ananya45@example.com,Pune,2496.35,2025-11-20
46,Ravi,28,ravi46@example.com,Chennai,2497.38,2025-10-21
47,Neha,22,neha47@example.com,Mumbai,9835.89,2025-08-28
48,Neha,50,neha48@example.com,Hyderabad,3275.72,2025-11-22
49,Neha,46,neha49@example.com,Chennai,5949.84,2025-12-12
50,Rahul,36,rahul50@example.com,Mumbai,6487.21,2025-11-04
51,Arjun,50,arjun51@example.com,Bangalore,8393.33,2025-09-24
52,Ananya,42,ananya52@example.com,Bangalore,9254.47,2025-10-25
53,Rahul,24,rahul53@example.com,Mumbai,1832.05,2025-04-22
54,Arjun,69,arjun54@example.com,Mumbai,2682.21,2025-10-31
55,Sneha,29,sneha55@example.com,Delhi,9014.14,2025-01-09
56,Arjun,52,arjun56@example.com,Chennai,7286.96,2025-05-11
57,Ananya,41,ananya57@example.com,Pune,7820.77,2025-04-26
58,Rahul,66,rahul58@example.com,Mumbai,8995.69,2025-12-06
59,Sneha,52,sneha59@example.com,Pune,9407.32,2025-06-02
60,Kiran,35,kiran60@example.com,Pune,5532.46,2025-11-06
61,Rahul,33,rahul61@example.com,Delhi,2320.27,2025-06-10
62,Ananya,50,ananya62@example.com,Pune,3321.46,2025-05-15
63,Rahul,34,rahul63@example.com,Hyderabad,5471.15,2025-01-22
64,Sneha,47,sneha64@example.com,Pune,9791.04,2025-02-20
65,Sneha,25,sneha65@example.com,Chennai,4400.5,2025-10-04
66,Sneha,50,sneha66@example.com,Mumbai,6722.35,2025-11-13
67,Neha,36,neha67@example.com,Mumbai,340.73,2025-02-18
68,Neha,34,neha68@example.com,Mumbai,9410.54,2025-02-15
69,Kiran,23,kiran69@example.com,Chennai,7502.42,2025-02-06
70,Neha,46,neha70@example.com,Hyderabad,5572.37,2025-04-05
71,Rahul,50,rahul71@example.com,Mumbai,3015.04,2025-06-10
72,Neha,20,neha72@example.com,Bangalore,5612.33,2025-08-11
73,Sneha,20,sneha73@example.com,Pune,1062.05,2025-10-15
74,Ravi,39,ravi74@example.com,Bangalore,2616.22,2025-09-30
75,Neha,50,neha75@example.com,Hyderabad,7054.59,2025-06-25
76,Ravi,46,ravi76@example.com,Bangalore,8112.68,2025-12-21
77,Priya,42,priya77@example.com,Delhi,907.78,2025-11-09
78,Ananya,62,ananya78@example.com,Mumbai,6534.64,2025-05-22
79,Ananya,68,ananya79@example.com,Mumbai,5830.76,2025-10-15
80,Ravi,39,ravi80@example.com,Chennai,4709.42,2025-03-04
81,Sneha,39,sneha81@example.com,Bangalore,8618.01,2025-11-01
82,Ananya,59,ananya82@example.com,Pune,3102.33,2025-04-11
83,Arjun,25,arjun83@example.com,Delhi,2788.27,2025-04-18
84,Kiran,56,kiran84@example.com,Mumbai,8436.03,2025-12-16
85,Ravi,52,ravi85@example.com,Mumbai,1414.18,2025-05-04
86,Priya,47,priya86@example.com,Chennai,7972.34,2025-11-15
87,Rahul,45,rahul87@example.com,Bangalore,876.72,2025-08-17
88,Priya,40,priya88@example.com,Hyderabad,6916.15,2025-05-09
89,Priya,18,priya89@example.com,Bangalore,2473.89,2025-04-28
90,Neha,42,neha90@example.com,Delhi,2871.35,2025-09-29
91,Kiran,56,kiran91@example.com,Delhi,6156.04,2025-09-04
92,Rahul,29,rahul92@example.com,Bangalore,3624.13,2025-03-27
93,Arjun,46,arjun93@example.com,Pune,1008.81,2025-02-16
94,Arjun,47,arjun94@example.com,Pune,9797.15,2025-07-23
95,Neha,43,neha95@example.com,Bangalore,4967.0,2025-02-08
96,Ananya,50,ananya96@example.com,Pune,4395.13,2025-01-23
97,Priya,27,priya97@example.com,Pune,6387.43,2025-10-17
98,Ananya,48,ananya98@example.com,Bangalore,6296.01,2025-04-06
99,Arjun,22,arjun99@example.com,Delhi,1713.05,2025-10-07
100,Neha,19,neha100@example.com,Hyderabad,8685.27,2025-06-09
101,Rahul,37,rahul101@example.com,Mumbai,3942.88,2025-02-02
102,Arjun,68,arjun102@example.com,Chennai,9420.5,2025-11-19
103,Arjun,50,arjun103@example.com,Bangalore,2146.18,2025-10-12
104,Kiran,29,kiran104@example.com,Pune,280.4,2025-08-30
105,Rahul,40,rahul105@example.com,Hyderabad,6591.65,2025-04-03
106,Priya,27,priya106@example.com,Bangalore,3472.18,2025-04-25
107,Arjun,24,arjun107@example.com,Mumbai,6959.61,2025-04-24
108,Kiran,28,kiran108@example.com,Delhi,487.94,2025-08-05
109,Kiran,53,kiran109@example.com,Bangalore,4292.36,2025-07-11
110,Rahul,66,rahul110@example.com,Chennai,4184.92,2025-04-06
111,Neha,40,neha111@example.com,Pune,5662.48,2025-09-25
112,Arjun,30,arjun112@example.com,Hyderabad,2458.54,2025-10-13
113,Arjun,66,arjun113@example.com,Pune,5015.96,2025-08-05
114,Sneha,30,sneha114@example.com,Chennai,1089.85,2025-04-10
115,Ananya,58,ananya115@example.com,Chennai,1003.74,2025-10-11
116,Sneha,48,sneha116@example.com,Mumbai,5777.04,2025-05-24
117,Kiran,22,kiran117@example.com,Chennai,6064.17,2025-02-22
118,Ravi,33,ravi118@example.com,Hyderabad,1223.3,2025-06-30
119,Priya,56,priya119@example.com,Pune,5540.34,2025-05-13
120,Rahul,40,rahul120@example.com,Delhi,3574.06,2025-05-26
121,Ravi,29,ravi121@example.com,Hyderabad,7638.96,2025-09-10
122,Sneha,24,sneha122@example.com,Pune,7039.59,2025-06-19
123,Arjun,67,arjun123@example.com,Chennai,7091.8,2025-01-05
124,Kiran,54,kiran124@example.com,Pune,9867.73,2025-12-31
125,Arjun,39,arjun125@example.com,Mumbai,2443.18,2025-11-23
126,Arjun,62,arjun126@example.com,Mumbai,3567.16,2025-09-09
127,Ravi,36,ravi127@example.com,Delhi,3842.08,2025-06-16
